陰イオン,条件/金属イオンの種類,具体的な金属イオン,沈殿の化学式（色・性質）
Cl-,通常の陽イオン,"Ag+, Pb2+","AgCl (白), PbCl2 (白 ※熱水には可溶)"
SO4 2-,通常の陽イオン,"Ba2+, Ca2+, Pb2+","BaSO4 (白), CaSO4 (白), PbSO4 (白)"
CrO4 2-,通常の陽イオン,"Ag+, Ba2+, Pb2+","Ag2CrO4 (暗赤), BaCrO4 (黄), PbCrO4 (黄)"
CO3 2-,通常の陽イオン,"Ba2+, Ca2+","BaCO3 (白), CaCO3 (白)"
S 2-,中性・塩基性,"Al〜Au の金属イオン (Zn2+, Fe2+, Pb2+ など)","ZnS (白), FeS (黒), PbS (黒)"
S 2-,酸性,"Sn〜Au の金属イオン (Cu2+, Ag+ など)","CuS (黒), Ag2S (黒)"
OH-,アルカリ金属、Be・Mgを除くアルカリ土類金属以外,"Al3+, Zn2+, Fe2+, Fe3+, Cu2+, Ag+ など","Al(OH)3 (白), Zn(OH)2 (白), Fe(OH)2 (緑白), Fe(OH)3 (赤褐), Cu(OH)2 (青白), Ag2O (褐)"
